Title,Author(s),Shelf,Genre,Owner,Short Description,Long Description,ISBN
Miracle Boy Grows Up: How the Disability Rights Revolution Saved my Sanity,Ben Mattlin,A1,,House
"Dude, You're a Fag",C.J. Pascoe,A1,,House
Nervous Conditions,Tsitsi Dangerembya,A1,,House
Crescent,Diana Abu-Jaber,A1,,House
VAS: An Opera in Flatland,Steve Tomasula,,Sci-Fi
An Introduction to Thermal Physics,Daniel V. Schroeder,,Physics
Quantum Mechanics: The Theretical Minimum; What you need to know to start doing physics,"Leonard Susskind, Art Friedman",,Physics
Introduction to Elementary Particles,David Griffiths,,Physics
Fundamental Astronomy,"Hannu Karttunen, Pekka Kroger, Heikki Oja, Markku Poutanen, Karl Johan Donner",,Astronomy
Finn's Thermal Physics,Andrew Rex,,Physics
Guide to Free Speech on Campus,Foundation for Individual Rights in Education
Inside Europe,John Gunther,,Politics
Probability Theory: The Logic of Science,E. T. Jaynes,,Statistics
"Gödel, Escher, Bach: an Eternal Golden Braid",Douglas R. Hofstadter,,Biography
Wisconsin Blue Book,Wisconsin Legislative Reference Bureau,,Reference
The Alignment Problem: Machine Learning and Human Values,Brian Christian,,AI Alignment
The Art of Doing Science and Engineering: Learning to Learn,Richard W. Hamming,,Mathematics
Center for Applied Rationality Participant Handbook,Center for Applied Rationality,,Reference
Open Borders: The Science and Ethics of Immigration,Bryan Caplan and Zach Weinersmith,,Economics
The Control of Nature,John McPhee,,Misc. Non-Fic
Legal Systems Very Different from Ours,"David Friedman, Peter T. Leeson, David Skarbek",,Law
Introduction to Quantum Mechanics,David J. Griffiths,,Physics
Codes: An Intrudiction to Information Communications and Cryptography,Normal L. Biggs,,Cryptography
Algebra,Michael Artin,,Mathematics
The Idiot,Elif Batuman,,Romance
How to Fuck up Your Startup,Kim Hvidkjaer,,Business
Quantum Mechanics: A Complete Introduction,Alexandre Zagoskin,,Physics
WARP: The Reluctant Assassin,Eoin Colfer,,Sci-Fi
The Precipice: Existential Risk and the Future of Humanity,Toby Ord,,Existential Risk
Legal Systems Very Different from Ours,"David Friedman, Peter T. Leeson, David Skarbek",,Law
Radical Markets: Uprooting Capitalism and Democracy for a Just Society,"Eric A. Posner, E. Glen Weyl",,Economics
Introduction to Classical Mechanics,David Morin,,Physics
An Introduction to Analysis,William R. Wade,,Mathematics
Real Mathematical Analysis,Charles C. Pugh,,Mathematics
Kierkegaard for Beginners,Donald D. Palmer,,Philosophy
The Meaning of Relativity,Albert Einstein,,Physics
Partials,Dan Wells,,Sci-Fi
The Only Woman in the Room: Why Science is still a Boys' Club,Eileen Pollack,,Misc. Non-Fic
The Hidden Reality: Parallel Universes and the Deep Laws of the Cosmos,Brian Greene,,Physics
The Metropolitan Man,Alexander Wales,,Fiction
The Design of Everyday Things,Don Norman,,"Business, Psychology"
"""Surely You're Joking, Mr. Feynman!""",Richard P. Feynman,,Biography
The Doomsday Calculation: How an Equation that Predicts the Future is Transforming Everything we Know about Life and the Universe,William Poundstone,,Statistics
Libertarianism for Beginners,Todd Seavey,,Politics
Vortex,S. J. Kincaid,,Sci-Fi
Balcony of Fog,Rich Shapero,,Fiction
A Big Ship at the Edge of the Universe,Alex White,,Sci-Fi
Chemical Principles: The Quest for Insight,"Peter Atkins, Loretta Jones",,Chemistry
Fundamentals of Physics Volume 1,"Halliday, Resnick, Jearl Walker",,Physics
Fundamentals of Physics Volume 2,"Halliday, Resnick, Jearl Walker",,Physics
Bandit Algorithms,"Tor Lattimore, Csaba Szepesvari",,"Statistics, Computer Science, Machine Learning"
Calculus of Variations and Optimal Control Theory: A Concise Introduction,Daniel Liberzon,,Mathematics
Fundamentals of Mathematics,"H. Behnke, F. Bachmann, K. Fladt, W. Suss",,Mathematics
Aristophanes: The Complete Plays,Aristophanes,,Drama
The Norton Shakespeare: Romances and Poems,"Shakespeare, Walter Cohen, Suzanne Gossett, Jean E. Howard, Katharine Eisaman Maus, Gordon McMullan",,Drama
The Norton Shakespeare: Comedies,"Shakespeare, Walter Cohen, Suzanne Gossett, Jean E. Howard, Katharine Eisaman Maus, Gordon McMullan",,Drama
Quantum Computation and Quantum Information,"Michael A. Nielsen, Isaac L. Chuang",,Physics
Modern Physics,"Paul A. Tipler, Ralph A. Llewellyn",,Physics
How to: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,,Misc. Non-Fic
SSC: Essays 2018-2019,Scott Alexander,,Misc. Non-Fic
Principles of Economics,N. Gregory Mankiw,,Economics
Earth Science,"Tarbuck, Lutgens, Tasa",,Earth Science
Organic Chemistry,David Klein,,Chemistry
Earth Science,"Tarbuck, Lutgens, Tasa",,Earth Science
Principles of Biochemistry,"David L. Nelson, Michael M. Cox",,Chemistry
Mathematics 115AH,"Kenneth Hoffman, Ray Kunze",,Mathematics
The Essential Calvin and Hobbes,Bill Watterson
Machines of Loving Grace,John Markoff,,Misc. Non-Fic,Jonathan
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,,"Existential Risk, AI Alignment",Jonathan
Life 3.0: Being Human in the Age of Artificial Intelligence (Signed),Max Tegmark,,"Existential Risk, AI Alignment",Jonathan
Our Mathematical Universe: My Quest for the Ultimate Nature of Reality,Max Tegmark,,Misc. Non-Fic,Jonathan
Invention and Innovation: A Brief History of Hype and Failure,Vaclav Smil,,Misc. Non-Fic,Jonathan
The Self-Assembling Brain,Peter Robin Heisinger,,"Machine Learning, Neuroscience",Jonathan
Beyond Good and Evil,Friedrich Nietzsche,,Philosophy,Jonathan
Projections: The New Science of Human Emotion,Karl Deisseroth,,"Neuroscience, Psychology, Psychiatry",Jonathan
The Idiot,Fyodor Dostoevsky,,Fiction,Jonathan
Human Compatible: Artificial Intelligence and the Problem of Control,Stuart Russell,,"Machine Learning, AI Alignment, Existential Risk",Jonathan
"I, Robot",Isaac Asimov,,Sci-Fi,Jonathan
The Age of AI (And Our Human Future),"Henry A. Kissinger, Eric Schmidt, Daniel Huttenlocher",,Misc. Non-Fic,Jonathan
Blondie24: Playing at the Edge of AI,David B. Fogel,,Machine Learning,Jonathan
"A Brief History of the Future: How visionary thinkers changed the world and tomorrow's trends are ""made"" and marketed",Oona Strathern,,"Misc. Non-Fic, Futurism",Jonathan
Virtual Reality: The Revolutionary Technology of Computer-Generated Artificial Worlds and How It Promises to Transform Society,Howard Rheingold,,Misc. Non-Fic,Jonathan
"Minds, Machines, and the Multiverse: The Quest for the Quantum Computer",Julian Brown,,Misc. Non-Fic,Jonathan
The Society of Mind,Marvin Minsky,,"Machine Learning, Philosophy"
Reasons and Persons,Derek Parfit,,Philosophy
An Unofficial Nick Bostrom Anthology,Nick Bostrom,,AI Alignment
Inadequate Equilibria: Where and How Civilizations Get Stuck,Eliezer Yudkowsky,,Existential Risk
Center for Applied Rationality Participant Handbook,Center for Applied Rationality,,Reference
Map and Territory,Eliezer Yudkowsky,,"Misc. Non-Fic, Psychology"
How to Actually Change Your Mind,Eliezer Yudkowsky,,Misc. Non-Fic
How to Launch a High-Impact Non-profit,"Joey Savoie, Patrick Stadler",,Misc. Non-Fic
Structure and Evolution of the Stars,Martin Schwarzschild,,Physics
"Good Omens, The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",,Fiction
Soonish: Ten Emerging Technologies That'll Improve and/or Ruin Everything,Kelly and Zach Weinersmith,,Misc. Non-Fic
"Gödel, Escher, Bach: an Eternal Golden Braid",Douglas R. Hofstadter,,Biography
The Road to Reality: A Complete Guide to the Laws of the Universe,Roger Penrose,,Mathematics
Introduction to Electrodynamics,David J. Griffiths,,Physics
Introduction to Quantum Mechanics,David J. Griffiths,,Physics
Progress of Theoretical and Experimental Physics - The Review of Particle Physics,Particle Data Group,,Physics
"Energy Landscapes:  Applications to Clusters, Biomolecules and Glasses",David Wales,,"Physics, Chemistry"
Quantum Computation and Quantum Information,"Isaac Chuang, Michael Nielsen",,Physics
Complex Analysis,Lars Alfohrs,,Mathematics
Principles of Mathematical Analysis,Rudin,,Mathematics
Abstract Algebra,"David S. Dummit, Richard M. Foote",,Mathematics
Principles of Biochemistry,"David L. Nelson, Michael M. Cox",,Chemistry
SSC: Essays 2013-2014,Scott Alexander,,Misc. Non-Fic
SSC: Essays 2018-2019,Scott Alexander,,Misc. Non-Fic
The Scout Mindset: Why Some People See Things Clearly and Others Don't,Julia Galef,,"Misc. Non-Fic, Psychology"
The Goddess of Everything Else,Scott Alexander,,Fiction
Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",,Machine Learning
Deep Learning for Dummies,"John Paul Mueller, Luca Massaron",,Machine Learning
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",,Machine Learning
Algebra,Michael Artin,,Mathematics
Differential Geometry of Curves & Surfaces,Manfredo P. Do Carmo,,Mathematics
Visual Differential Geometry and Forms: A mathematical drama in five acts,Tristan Needham,,Mathematics
The Martian,Andy Weir,,Sci-Fi
Stories of Your Life and Others,Ted Chiang,,Sci-Fi
Exhalation,Ted Chiang,,Sci-Fi
The Big Book of Science Fiction,Various Authors,,Sci-Fi
Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald Rivest, Clifford Stein",,Computer Science
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",,Machine Learning
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,,"Existential Risk, AI Alignment"
The Most Important Century,Holden Karnofsky,,Existential Risk
"80,000 Hours: Find a Fulfilling Career that Does Good",Benjamin Todd,,Effective Altruism
Introduction to Plasma Physics,W. B. Thompson,,Physics
